1_building,2_building,3_building,4_building,5_building,6_building,7_building,bulk_consumption
6.170515508,7.129757695,1.597402451,17.80584128,2.933321654,13.30406558,72.14053953,72.736
2.261556937,6.367442512,1.007893659,13.58833374,2.132820869,6.307016666,71.55174575,95.968
2.825597172,7.134513953,0.589584872,13.91515667,2.531670217,10.93494968,72.14594723,93.824
3.834389783,7.721507296,0.454619255,13.72391507,2.804159982,9.867525752,73.38229331,111.456
2.364616596,9.646114348,0.828339044,14.51916161,3.59940652,10.66277229,76.54412935,109.952
5.378217679,10.71448552,0.484188303,16.75041759,5.145536764,13.1396865,76.54526648,97.632
25.85288481,13.0348396,1.72298773,27.08652516,7.474066162,25.87338001,79.29334152,70.976
43.77001813,10.60779729,1.818631858,26.99121368,7.378754684,26.42977814,75.85851303,37.76
43.82756524,10.3809413,1.789690136,32.4364163,7.543257762,27.92297678,76.06046179,16.576
59.43206732,8.828119264,2.234350456,52.78268783,7.317172218,53.11684366,71.92061841,30.272
66.80905493,7.100097466,0.536236089,55.35677534,4.991422846,61.46447618,72.70260172,11.903
59.75667992,9.879783356,2.597832231,57.22674322,7.191946727,59.897659,72.12628366,39.584
65.14514854,10.66330073,3.315389304,59.59428751,7.996058345,68.74009685,72.48700198,16.128
63.73875516,9.823699829,2.541748704,55.13718469,7.229519789,59.12871732,73.70961808,2.592
68.49673894,9.41894331,2.855081933,57.17044203,7.803751575,68.69198316,71.49824231,0.895
67.29310081,12.35214218,4.339236253,56.60257297,9.476629472,68.8785206,76.7951822,0.349
69.6507342,13.26189096,4.465287933,55.15004042,10.04775845,63.65469377,75.36045975,23.936
64.82360948,12.9083922,4.111789173,42.87493437,9.281210578,47.28128367,74.69861901,30.752
48.09745402,12.88331894,4.08671591,25.34084356,9.244510803,31.56751466,70.69425568,72.256
23.71152786,11.5218198,4.344373099,20.96592587,8.100882707,24.3583726,68.71273247,92
10.59295984,7.108090792,3.367157882,16.30527551,4.524517061,9.682234736,64.52605894,102.72
6.579056034,8.579126563,1.526199819,14.94558684,3.326298524,11.18329142,67.59874502,103.84
5.914218361,8.835608842,1.156263577,13.95176623,3.172862058,11.69950743,68.27886328,97.536
6.378666893,9.385324261,1.214327291,14.20078555,3.421881378,11.94852675,68.5278826,93.727
7.175912391,8.116207181,0.88650448,14.54651315,2.605290671,10.15903861,76.78458336,92.544
6.927955587,8.116207181,0.878680031,14.5386887,2.597466222,10.15121416,79.30648241,91.872
6.927955587,8.116207181,0.878680031,14.5386887,2.597466222,10.15121416,79.30648241,89.92
6.927955587,8.116207181,0.878680031,14.5386887,2.597466222,10.15121416,79.30648241,81.696
7.569332051,7.447374789,1.866113792,14.9140636,3.004217666,8.532164001,78.3787763,90.176
9.365627922,8.436165146,2.854904149,15.99134734,3.992519575,11.33763612,77.7916812,71.04
12.03938174,9.493361826,3.912100829,19.47518055,5.165557113,13.5890014,72.05928237,30.816
34.31067644,9.694518751,2.456991601,20.88727218,4.153448667,18.51530112,73.69372428,7.902
47.28228371,9.219692877,2.655194924,26.43189569,3.882904476,20.27429759,70.09544848,0
56.55968583,8.73264117,3.435385534,50.08684553,4.222546469,45.03459994,67.64528064,0
57.95055793,8.447164559,2.603067178,53.65496967,2.892272345,56.93254407,71.51933394,0
60.81897401,10.07297675,3.644964227,59.37851356,4.421080421,67.99244456,74.22997116,0
62.62286677,10.31950958,3.891497056,60.27825572,6.037647429,67.13679063,72.76571241,2.909
62.68530262,10.10419912,3.676186594,59.44512808,5.923117758,66.03366952,72.60133385,0.159
62.48321433,10.8800462,4.452033683,58.84903554,7.413079116,63.55030303,73.59815536,0
61.84340092,11.63403607,5.155314232,56.51863291,8.401905861,60.36123521,74.52274268,0
60.86397883,11.52220628,4.927204033,50.83037856,7.328519165,59.61754996,73.39610533,2.592
60.23389436,11.25764541,4.765583924,39.42509336,7.076334099,46.56207469,73.10100476,45.344
52.51943878,11.21080347,4.718741976,22.69180796,7.029492151,28.95453611,69.85511051,71.424
26.97704254,11.78024669,5.115378809,19.40317444,7.244546739,27.84751888,68.88085802,96.928
17.63688572,10.31021825,3.645350373,17.70063773,5.774518304,12.93541255,68.35120883,93.44
9.373463356,7.969227384,1.89373837,14.0856211,2.662604591,6.249978186,70.62485733,105.088
8.464791204,8.659679584,1.651558171,14.31001602,3.625392689,9.561305118,75.65843195,97.216
8.464791204,8.659679584,1.651558171,14.13055135,3.625392689,9.561305118,75.65843195,97.824
11.53170163,8.883152865,1.818432105,15.00930295,4.04589089,10.23781843,79.15327717,97.664
12.00425522,9.143148832,1.905621681,15.28744813,4.324036074,11.87778401,79.02173275,93.472
11.88840569,9.027299302,1.789772151,15.1715986,4.208186543,11.76193448,78.90588322,93.248
12.2581999,8.2195537,2.638292703,15.40806029,4.476024778,10.00397111,77.8392639,95.296
12.2581999,8.2195537,2.638292703,15.40806029,4.476024778,10.00397111,77.8392639,92.511
14.53223379,9.725897487,2.488370336,15.87019678,4.906784728,12.46053267,79.60448141,88.8
18.27462406,9.511909792,2.447189032,19.22279215,4.673536495,16.5190883,76.06953522,60.736
40.12621975,10.17689428,2.939367132,19.90592586,5.356670201,18.56404241,74.00781909,37.408
39.41238711,10.16946601,3.129853124,24.40953311,5.733600022,18.44181904,72.95521919,9.982
50.88647485,10.21553585,3.17592297,43.52250287,6.227995508,39.07571892,71.35037939,36.64
53.08484915,8.091746786,1.774092863,44.1171754,3.347477419,40.2092234,68.395585,28.288
53.72386868,8.618857674,2.390525244,45.88802874,4.439313822,39.91002612,67.80905685,0.317
54.88666312,8.887604864,2.659272434,49.71069457,4.304580029,42.76394699,67.33881659,3.07
57.31162764,10.50624795,3.607276416,56.26373081,5.652293672,62.77017638,69.8148217,22.912
62.86990725,9.874369112,4.063063975,54.99149364,5.500734832,63.80636826,69.2002988,13.984
50.08665722,9.224235616,2.811465391,40.10038647,4.148451779,32.17590586,63.30040817,23.871
49.87364415,9.749331002,3.367628109,36.4706238,4.705167142,35.06147378,64.8884443,1.856
49.6755431,9.90382868,3.522125788,31.57004454,4.901515094,24.47796491,65.54197636,18.144
44.74688506,9.878448852,3.586067452,16.13042518,4.965456759,13.82211612,68.44162311,58.912
23.41436955,9.84713411,3.554752711,15.87167319,4.527240093,10.66220526,68.54060996,90.368
16.2496959,9.85217891,3.38699112,15.71642337,4.530397723,11.15914513,69.72527671,90.816
12.79660151,9.617050637,2.513388786,14.21893667,3.873295164,11.17169504,71.631684,90.624
12.49215121,9.768877501,2.587949697,14.29349758,3.947856075,11.24625595,71.70624491,91.904
12.4175903,9.69431659,2.513388786,14.91856487,4.572923365,11.87132324,72.3313122,89.119
9.896913061,10.01904712,1.694097357,16.409828,5.08421941,13.86621284,79.52032459,88.128
9.896913061,10.01904712,1.694097357,16.409828,5.08421941,13.86621284,79.52032459,85.664
9.896913061,10.01904712,1.694097357,16.409828,5.08421941,13.86621284,79.52032459,80.352
10.40391883,9.215844032,2.547160424,16.65083221,5.35660016,12.11279198,78.45824778,150.848
10.67006207,9.750054523,2.809452996,17.33465153,6.040419482,12.7966113,79.1420671,141.376
13.68366316,10.8184257,2.465302256,19.5659075,7.586549726,15.27352551,79.07899483,195.392
25.05330713,12.9835555,3.548877405,28.52707653,9.86470266,27.45407192,81.89452942,152.832
35.73155742,15.29787533,3.879492158,27.7061924,10.19531741,28.43639628,80.54169355,153.024
48.17206764,16.08686737,3.210132312,31.77234616,10.29308371,30.55996419,80.3656808,125.312
61.89710488,16.3910705,2.971672746,50.34012335,9.567624006,51.00796017,75.46610974,150.592
70.59132492,16.65780163,3.040933431,55.21122247,9.158079383,60.91253907,74.6465222,135.392
84.39537522,17.06981411,3.625752305,52.72081955,9.818819444,62.63729664,73.49272068,167.712
85.29923537,16.57953213,3.135470324,52.17645681,9.328537463,55.73374784,74.72118803,129.504
82.48452553,15.85607708,2.412015274,51.74455588,8.377842558,56.74466676,72.99742272,103.68
88.09452027,16.21111651,2.803758478,58.19474485,8.184543874,70.90487403,75.93389247,139.52
89.58977133,18.67693561,3.684800036,58.14542363,9.272826042,73.05303089,80.31560598,138.56
90.2762382,19.89577051,4.606433801,56.51200109,10.89381708,68.15546238,74.19091459,195.648
74.79093782,18.23424944,4.801758448,38.66126974,9.450456342,41.94027002,64.66282419,108.224
55.77032377,18.06072308,4.079079514,20.98959216,8.912614284,27.05381327,63.86399979,109.856
27.41934496,17.01405611,3.515589606,19.35259964,7.888569735,20.59104383,66.59869402,84.864
17.30050117,13.35338412,2.021080606,16.6025796,4.506883183,12.84778173,71.98219505,91.68
10.13133047,10.10072847,1.858860312,16.44035931,4.34466289,12.68556143,75.50350756,91.967
9.788090427,10.21376559,1.894631481,15.49832006,4.380434059,12.7213326,75.53927873,89.248
9.788090427,10.21376559,1.894631481,15.49832006,4.380434059,12.7213326,75.53927873,90.943
10.00318253,9.215844032,2.547160424,16.06076321,5.055404015,9.514801019,77.86817879,87.584
9.755225725,9.215844032,2.547160424,16.06076321,5.055404015,9.514801019,77.86817879,89.824
10.00318253,9.215844032,2.547160424,15.71550642,4.710147231,9.169544235,75.44804594,88
9.708787923,9.359041871,2.690358263,15.49378971,5.315065587,10.0809015,75.02326003,95.776
10.24299841,9.893252361,2.952650835,16.17760903,5.998884909,10.76472082,75.70707935,103.808
11.31136959,10.96162353,2.608500094,18.40886501,7.545015153,13.24163502,77.36428286,117.44
22.68101356,13.12675334,3.692075244,27.37003404,9.823168088,22.35761621,78.87020508,95.456
30.25320937,15.44107317,4.022689997,27.70064879,10.15378284,23.33994057,79.17343559,120.992
49.53002862,15.93972119,3.062986132,35.0612335,9.506485577,28.8052668,78.92522543,76.512
66.61991159,15.10953907,2.157491991,52.49447366,8.811599499,51.12652074,75.40466486,44
79.99763199,15.86292082,2.389132503,60.09430341,7.89852146,62.5778471,75.79729903,29.536
84.28658592,16.55282112,3.075597458,64.46562625,8.246308585,72.20497122,70.91865972,60.704
89.28721084,17.77338328,3.47357073,65.10145878,8.860087758,77.84323311,79.60524597,80.704
87.47486536,18.00083053,3.701017976,65.66514411,9.985170706,78.29167447,79.93036064,72.64
95.17864903,18.99072684,3.765439105,66.72601394,11.10227516,81.51384045,79.25927925,66.624
91.48768483,20.0035278,4.778240066,64.21964344,12.85321791,76.54514225,79.62583041,88.64
89.63252289,19.80099497,4.511658263,56.91929029,11.0879144,69.16968747,78.69969584,126.592
85.12612093,19.43159686,4.142260149,45.69792499,11.01667716,55.29032159,77.86550307,62.528
69.35796958,19.52302671,4.233690006,28.45980197,11.10657214,45.61382239,74.29257544,106.176
41.17304558,17.7719328,4.120060812,21.9275618,9.094203136,25.91865528,70.97395885,110.016
22.78319319,13.2220053,3.559929527,16.6710401,5.179154503,9.210201518,65.54279937,97.472
10.79005497,9.087175686,1.582979866,14.33005458,3.725407753,9.815470129,68.61210323,92.256
8.633522789,9.483286953,1.582979866,14.50951925,3.725407753,9.815470129,68.61210323,91.52
8.764194738,9.396070177,1.561723389,14.61700973,3.637633118,9.240158944,70.70319987,88.32
7.386222317,8.716008788,0.408555869,13.48689608,2.865474079,9.339926943,73.14527432,89.152
7.386222317,8.716008788,0.408555869,13.48689608,2.865474079,9.339926943,73.14527432,89.536
8.221278304,8.992105468,0.667155706,15.42537099,3.420285069,11.61336559,77.49450059,90.368
8.553856594,8.81548252,0.663339149,15.23059883,3.225512905,11.41859343,77.29972843,102.24
8.755488794,9.526315958,0.929448278,16.10919031,4.10410439,12.29718491,78.17831992,91.872
11.42795909,10.41806418,0.581480981,17.96620946,5.455462471,14.57932695,77.98468488,141.28
27.30333548,12.72966807,1.656220669,28.70988593,7.585043937,29.07902846,76.62967431,115.616
58.8747793,14.85893475,2.203112447,27.42409979,7.536261557,30.13120428,74.63411932,178.912
60.77773316,14.52675218,2.068844142,32.37181185,7.51180804,31.43544633,72.99104511,137.056
43.45403888,15.15726299,3.566937782,38.55769737,9.68332252,35.29830964,77.67290257,42.143
40.01027428,16.22390236,3.706628144,34.07450226,10.19938153,30.83459645,80.77941433,90.56
61.11996164,16.09954156,2.098807587,47.60295333,8.773408544,46.79314332,79.33255034,19.07
78.78588531,16.27272738,3.051325015,58.57536765,7.839873547,62.75242924,72.83962848,4.863
89.72320052,16.53418363,3.813681494,60.96466542,8.379195825,74.11484311,72.7399197,54.592
93.75311807,17.67582846,3.651763047,60.70842164,9.227751982,80.42249879,80.76900682,131.872
92.98175485,19.51335418,4.624159362,60.21327874,10.18412468,77.63509235,80.76309054,98.624
91.53353447,19.76349487,4.577098919,55.94860394,10.91188185,68.25232023,77.50847863,163.968
87.30552811,19.35910482,4.172708861,44.03189086,10.14529684,52.07972214,75.82822984,65.12
66.73759706,18.33313592,3.379892135,24.63401978,8.717501912,33.41343099,68.94643729,89.376
35.47670145,17.8244686,4.41936803,21.21391374,8.528685467,28.55156259,69.61169618,83.424
22.54567053,13.72844055,3.346716645,17.19699805,5.269431118,12.06905229,67.41751824,99.808
9.605406503,8.376365156,2.205371952,15.13803869,3.830928747,11.45957526,65.46161795,91.008
8.961589625,8.95169275,1.835435711,14.14421808,3.677492281,11.97579127,66.1417362,90.784
8.992191326,8.821260478,1.705003438,14.48876435,3.594455407,11.61981248,67.1751579,93.216
7.733568333,8.116321278,1.005310704,14.68771964,2.750326325,9.375684854,72.85336661,94.208
8.131644759,8.612864035,0.717803413,15.16051494,2.789558556,10.03969068,74.235135,94.208
8.16087107,8.642090346,0.747029725,15.18974125,2.818784868,10.06891699,74.26436132,89.472
8.560834979,8.241046636,1.829445777,15.85105405,3.51147421,8.735804724,73.6225931,98.784
10.04337037,8.712708206,1.627859247,16.50324611,4.221344594,12.20579373,73.60388218,96.448
11.11174155,9.781079379,1.283708507,18.73450208,5.767474839,14.68270793,73.60501931,110.944
22.91140803,12.10143346,2.677817482,29.2259192,8.132795578,26.35358349,77.56538103,92.288
52.06685016,14.602167,2.56865047,28.71572129,7.787641198,31.47643799,73.54423521,80.8
54.22018865,13.88400219,2.22120632,33.65146588,7.442686241,32.4601786,71.58065955,35.232
72.8805404,14.6984223,1.7733156,53.9850005,7.128940336,56.70164804,73.20287488,14.591
84.22447625,13.81644924,0.604550602,59.24749908,5.797308992,71.7738097,76.62804041,4.16
87.44079419,14.56659224,1.3546936,61.68792575,6.505504851,80.31281614,75.91200151,19.936
92.24662425,17.43004861,3.544913335,66.54159808,8.895380742,83.23223669,75.72352524,20.48
90.47144079,15.37711884,1.491983564,62.16878856,7.009666065,82.27016993,80.47655182,27.776
91.88505094,16.57719503,2.625389481,62.37957847,8.194858957,85.57079358,78.89065232,53.664
91.93855984,19.48892284,4.438835717,63.66187841,11.59076672,79.48777496,79.52016827,78.912
90.20998962,19.48551185,4.371375755,55.96209108,10.70615869,69.61097494,77.30275547,119.616
85.98198325,19.08112179,3.966985697,44.045378,9.939573676,51.2964528,75.62250667,60.192
63.88741355,17.98848262,3.174168971,24.64750692,8.511778748,33.20770782,68.74071413,101.376
35.8979855,16.96157517,4.077110807,20.91787388,8.013435299,28.03631243,69.09644602,102.08
22.51164859,13.41431372,3.336036502,17.23253527,5.085758031,11.8853792,67.23384515,103.424
9.499854894,8.537358837,1.950164185,15.66821912,3.679849328,11.47692337,67.12134899,95.84
8.98288851,9.112686431,1.580227944,14.67439851,3.526412862,11.99313937,67.80146725,91.456
8.98288851,9.112686431,1.580227944,14.67439851,3.526412862,11.99313937,67.80146725,89.216
